"@timestamp","_id","_index","_score","agent.name","agent.version","data_stream.dataset","data_stream.namespace","data_stream.type","event.agent_id_status","event.ingested","event.kind","event.severity","labels.ParentId","labels.SpanId","labels.TraceId","labels.application_id","labels.component_id","labels.component_name","labels.dns","labels.log_id","labels.tenant_id","labels.{OriginalFormat}","log.level",message,"observer.hostname","observer.type","observer.version","parent.id","service.language.name","service.name","service.node.name","service.target.name","service.target.type","span.id",tags,"trace.id"
"Jan 8, 2025 @ 14:14:40.276",p7mNRJQBo81fAKGjByMO,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:14:40.000","-",9,4b79882e5b7705d3,f4019455545c59a1,2bf86ec8cd2617d18c22c5da87727262,"E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB","C41A697D-6E3A-4634-BE12-0FEC05D7C7DE",EDS,"businessnext-app-669dcb477d-qbfqs","3da5fe08-6769-417b-aa7f-1ad6ff4773a8",985,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 3da5fe08-6769-417b-aa7f-1ad6ff4773a8 Message: Input Parameters -  Input parameter and values - APPLICATIONID=137532;USER_ID=5129;",Information,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 3da5fe08-6769-417b-aa7f-1ad6ff4773a8 Message: Input Parameters -  Input parameter and values - APPLICATIONID=137532;USER_ID=5129;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3","-",dotnet,"mpi-los_BusinessNextApplication","810b0f0f-e303-421b-810c-03bcdb76c1af","-","-",f4019455545c59a1,"_geoip_database_unavailable_GeoLite2-City.mmdb",2bf86ec8cd2617d18c22c5da87727262
"Jan 8, 2025 @ 14:14:40.276",PLmNRJQBo81fAKGjCyXO,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:14:41.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","Input Parameters -  Input parameter and values - APPLICATIONID=137532;USER_ID=5129;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",4b79882e5b7705d3,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","-","-",f4019455545c59a1,"_geoip_database_unavailable_GeoLite2-City.mmdb",2bf86ec8cd2617d18c22c5da87727262
"Jan 8, 2025 @ 14:14:37.188",v7mNRJQBo81fAKGjAhKu,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:14:39.000","-",9,73292c6f0f2cc6be,59d110d1a25b52ce,8c09b3cc523248a563b7af93ccdaa7a7,"E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB","C41A697D-6E3A-4634-BE12-0FEC05D7C7DE",EDS,"businessnext-app-669dcb477d-qbfqs","666068e6-e3b4-4077-8f2d-6b7cab4a7a28",985,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 666068e6-e3b4-4077-8f2d-6b7cab4a7a28 Message: Input Parameters -  Input parameter and values - USER_ID=5129;FINANCIALAPPLICATIONID=137532;",Information,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 666068e6-e3b4-4077-8f2d-6b7cab4a7a28 Message: Input Parameters -  Input parameter and values - USER_ID=5129;FINANCIALAPPLICATIONID=137532;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3","-",dotnet,"mpi-los_BusinessNextApplication","810b0f0f-e303-421b-810c-03bcdb76c1af","-","-",59d110d1a25b52ce,"_geoip_database_unavailable_GeoLite2-City.mmdb",8c09b3cc523248a563b7af93ccdaa7a7
"Jan 8, 2025 @ 14:14:37.187",crmNRJQBo81fAKGjAhiv,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:14:39.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","Input Parameters -  Input parameter and values - USER_ID=5129;FINANCIALAPPLICATIONID=137532;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",73292c6f0f2cc6be,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","-","-",59d110d1a25b52ce,"_geoip_database_unavailable_GeoLite2-City.mmdb",8c09b3cc523248a563b7af93ccdaa7a7
"Jan 8, 2025 @ 14:14:37.156",m7mNRJQBo81fAKGjAhKu,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:14:39.000","-",9,4f208b61ef1a88d3,7b4917c2268b9bd7,8c09b3cc523248a563b7af93ccdaa7a7,"E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB","C41A697D-6E3A-4634-BE12-0FEC05D7C7DE",EDS,"businessnext-app-669dcb477d-qbfqs","666068e6-e3b4-4077-8f2d-6b7cab4a7a28",985,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 666068e6-e3b4-4077-8f2d-6b7cab4a7a28 Message: Input Parameters -  Input parameter and values - SALUTATION=4;FIRSTNAME=MELBA;MIDDLENAME=BARONGRONG;LASTNAME=MENDOZA;SUFFIX=;APPLICATIONID=137532;",Information,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 666068e6-e3b4-4077-8f2d-6b7cab4a7a28 Message: Input Parameters -  Input parameter and values - SALUTATION=4;FIRSTNAME=MELBA;MIDDLENAME=BARONGRONG;LASTNAME=MENDOZA;SUFFIX=;APPLICATIONID=137532;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3","-",dotnet,"mpi-los_BusinessNextApplication","810b0f0f-e303-421b-810c-03bcdb76c1af","-","-",7b4917c2268b9bd7,"_geoip_database_unavailable_GeoLite2-City.mmdb",8c09b3cc523248a563b7af93ccdaa7a7
"Jan 8, 2025 @ 14:14:37.155",UbmNRJQBo81fAKGjAhiv,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:14:39.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","Input Parameters -  Input parameter and values - SALUTATION=4;FIRSTNAME=MELBA;MIDDLENAME=BARONGRONG;LASTNAME=MENDOZA;SUFFIX=;APPLICATIONID=137532;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",4f208b61ef1a88d3,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","-","-",7b4917c2268b9bd7,"_geoip_database_unavailable_GeoLite2-City.mmdb",8c09b3cc523248a563b7af93ccdaa7a7
"Jan 8, 2025 @ 14:11:05.755","O66JRJQBo81fAKGjxTh-",".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:11:07.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","Query - select  ApplicationId, StatusId,ROWNUMBER from (select RowNumberSql.*, ROW_NUMBER() OVER (ORDER BY ApplicationId)  AS  ROWNUMBER from (select ApplicationId, StatusId from (select Application.OwnerId, Application.ApplicationId,Application.RelatedToID,Application.statusid,Application.RelatedToTypeID from Application     where Application.OwnerId=@OwnerID )  AS  temSql  where RelatedToID=137532 and RelatedToTypeID=100286)  AS  RowNumberSql)  AS  TempQuery WHERE ROWNUMBER BETWEEN @startindex AND @endindex","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",1b8750a795fa2a9c,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","MPI_PROD",db,5761b2afca927ae8,"_geoip_database_unavailable_GeoLite2-City.mmdb",6951f0af9c9467c94cc517461c78bb8b
"Jan 8, 2025 @ 14:11:05.748","L66JRJQBo81fAKGjxTh-",".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:11:07.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","Query - select COUNT(1) from (select RowNumberSql.* from (select ApplicationId, StatusId from (select Application.OwnerId, Application.ApplicationId,Application.RelatedToID,Application.statusid,Application.RelatedToTypeID from Application     where Application.OwnerId=@OwnerID )  AS  temSql  where RelatedToID=137532 and RelatedToTypeID=100286)  AS  RowNumberSql) as TempQuery","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",1b8750a795fa2a9c,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","MPI_PROD",db,830226d19729d4f6,"_geoip_database_unavailable_GeoLite2-City.mmdb",6951f0af9c9467c94cc517461c78bb8b
"Jan 8, 2025 @ 14:08:19.314",UaaHRJQBo81fAKGjOsIN,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:08:20.000","-",9,5463581d8068342f,92751ac84a78c667,c993d964f02d34373618d40771faf85c,"E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB","C41A697D-6E3A-4634-BE12-0FEC05D7C7DE",EDS,"businessnext-app-669dcb477d-qbfqs","b8cab2cf-0bc6-4cb7-ac85-a1f0b8eb62e6",985,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: b8cab2cf-0bc6-4cb7-ac85-a1f0b8eb62e6 Message: Input Parameters -  Input parameter and values - APPLICATIONID=137532;USER_ID=5129;",Information,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: b8cab2cf-0bc6-4cb7-ac85-a1f0b8eb62e6 Message: Input Parameters -  Input parameter and values - APPLICATIONID=137532;USER_ID=5129;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3","-",dotnet,"mpi-los_BusinessNextApplication","810b0f0f-e303-421b-810c-03bcdb76c1af","-","-",92751ac84a78c667,"_geoip_database_unavailable_GeoLite2-City.mmdb",c993d964f02d34373618d40771faf85c
"Jan 8, 2025 @ 14:08:19.314",JKaHRJQBo81fAKGjOsUO,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 8, 2025 @ 14:08:20.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","Input Parameters -  Input parameter and values - APPLICATIONID=137532;USER_ID=5129;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",5463581d8068342f,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","-","-",92751ac84a78c667,"_geoip_database_unavailable_GeoLite2-City.mmdb",c993d964f02d34373618d40771faf85c
