"@timestamp","_id","_index","_score","agent.name","agent.version","data_stream.dataset","data_stream.namespace","data_stream.type","event.agent_id_status","event.ingested","event.kind",message,"observer.hostname","observer.type","observer.version","parent.id","service.language.name","service.name","service.node.name","span.id",tags,"trace.id"
"Jan 2, 2025 @ 11:28:20.945",aTQOJZQBo81fAKGjqGFj,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 2, 2025 @ 11:28:25.000",event,"Input Parameters -  Input parameter and values - FA=128289;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",238cb66b0c597bb6,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60",c45d1722f9b7d93e,"_geoip_database_unavailable_GeoLite2-City.mmdb",a6c76947bd70b5bf1d014f94261b1c90
"Jan 2, 2025 @ 11:28:20.915",SzQOJZQBo81fAKGjqGFj,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 2, 2025 @ 11:28:25.000",event,"Input Parameters -  Input parameter and values - APPLICATIONID=128289;USER_ID=5902;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",6c8889c6c2e31ad6,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60",4331a3c825cee877,"_geoip_database_unavailable_GeoLite2-City.mmdb",18d2b9a33e3feac2574c18781beb2465
"Jan 2, 2025 @ 11:28:13.407",ETQOJZQBo81fAKGjgVVF,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 2, 2025 @ 11:28:15.000",event,"Input Parameters -  Input parameter and values - USER_ID=5902;FINANCIALAPPLICATIONID=128289;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",797bbbcb48cb8e41,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60",cd32aa40893a933e,"_geoip_database_unavailable_GeoLite2-City.mmdb",cf85a4ab8e8553ec1ff23dff31abc578
"Jan 2, 2025 @ 11:09:31.078",fST9JJQBo81fAKGjXhKi,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 2, 2025 @ 11:09:32.000",event,"Input Parameters -  Input parameter and values - FA=128289;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",4b2dd479775281e3,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60",6aef682900f05294,"_geoip_database_unavailable_GeoLite2-City.mmdb",93dacb9651869675819de32c7576ff2d
"Jan 2, 2025 @ 11:09:31.044",UCT9JJQBo81fAKGjXhKi,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 2, 2025 @ 11:09:32.000",event,"Input Parameters -  Input parameter and values - APPLICATIONID=128289;USER_ID=5902;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",ad8905f09f13b2e3,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60",f6e4509928a5aa0d,"_geoip_database_unavailable_GeoLite2-City.mmdb",b605dbf10b9498b3c0cc4c057040f5a6
"Jan 2, 2025 @ 11:09:28.453",qyT9JJQBo81fAKGjVwe2,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 2, 2025 @ 11:09:30.000",event,"Input Parameters -  Input parameter and values - USER_ID=5902;FINANCIALAPPLICATIONID=128289;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",768571e23af0b715,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60",98e028c803fc7277,"_geoip_database_unavailable_GeoLite2-City.mmdb",0bd2b68815685ab337e56a74fdccf359
"Jan 2, 2025 @ 11:09:18.113",WyP9JJQBo81fAKGjL9F1,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.26-000032","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 2, 2025 @ 11:09:20.000",event,"Input Parameters -  Input parameter and values - APPLICATIONID=128289;STATUSCODE=;CREATIONDATE=;LOANAMOUNT=;CREATEDBY=;ORIGINATINGBRANCH=;CURRENTOWNER=;ASSIGNEDTO=;APP_NAME=;APP_DOB=;APP_CIF=;APP_PN=;APP_IDTYPE=;APP_IDNUMBER=;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",db15d3b64b4fb868,dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60",6fbbec3330563eb5,"_geoip_database_unavailable_GeoLite2-City.mmdb",4d2d4efed71b53611dd18e647d321a17
